"timestamp","container","test_type","model","run","final verdict","rv_traces_used","input_tokens","output_tokens","total_tokens","llm_seconds"
"2026-05-24T06:50:31+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_2","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T06:51:02+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_3","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-24T07:06:25+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_1","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T07:07:00+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_2","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T07:07:33+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_3","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-24T07:14:30+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_1","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T07:15:11+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_2","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-24T07:15:45+00:00","jnrposixd9f3f84","od","claude-sonnet-4-6","run_3","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-24T13:58:58+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-24T14:01:04+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","FAILED","agentic","311192","3189","314381","52.8"

"2026-05-25T04:21:52+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","220163","1982","222145","36.9"

"2026-05-25T04:34:34+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","208531","1926","210457","31.7"

"2026-05-25T06:40:10+00:00","elasticjob294","nio","gpt-4o","run_1","FAILED","agentic","145727","4291","150018","42.7"

"2026-05-25T07:33:50+00:00","elasticjob294","nio","gpt-4o","run_1","PASSED","agentic","139341","4169","143510","46.5"

"2026-05-25T11:19:33+00:00","HDFS-15702","td","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-25T11:37:48+00:00","HDFS-15702","td","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-25T11:38:02+00:00","HDFS-15702","td","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-25T11:38:13+00:00","HDFS-15702","td","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-25T12:27:08+00:00","HDFS-15702","td","gpt-4o","run_1","FAILED","agentic","198733","7951","206684","68.7"

"2026-05-25T13:20:44+00:00","HDFS-15702","td","gpt-4o","run_1","FAILED","agentic","1251381","9832","1261213","127.6"

"2026-05-25T13:33:59+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","254896","2598","257494","47.3"

"2026-05-25T13:46:38+00:00","elasticjob294","nio","gpt-4o","run_1","FAILED","agentic","266862","4581","271443","57.0"

"2026-05-25T17:15:59+00:00","elasticjobf0d","nio","gpt-4o","run_1","PASSED","agentic","42455","954","43409","17.5"
"2026-05-25T17:21:22+00:00","elasticjobf0d","nio","gpt-4o","run_2","PASSED","agentic","24082","1946","26028","17.9"

"2026-05-25T17:29:20+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_1","INCOMPLETE","agentic","0","0","0","0.0"
"2026-05-25T17:29:37+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_2","INCOMPLETE","agentic","0","0","0","0.0"

"2026-05-25T17:48:22+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_1","FAILED","agentic","325732","5457","331189","73.3"
"2026-05-25T17:53:55+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_2","FAILED","agentic","222012","4202","226214","48.0"

"2026-05-25T18:37:23+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","309109","2465","311574","58.4"

"2026-05-25T18:40:37+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","191083","1461","192544","31.1"
"2026-05-25T18:44:10+00:00","jnrposixd9f3f84","od","gpt-4o","run_2","PASSED","agentic","214709","1995","216704","41.6"

"2026-05-30T07:01:27+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_1","FAILED","agentic","1368231","10236","1378467","119.9"
"2026-05-30T07:06:38+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_2","FAILED","agentic","274909","5331","280240","80.9"

"2026-05-31T04:51:25+00:00","HBASE-27051","td","gpt-4o","run_1","FAILED","agentic","176114","3939","180053","7113.9"

"2026-05-31T13:54:36+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_1","FAILED","agentic","111768","4533","116301","42.0"
"2026-05-31T14:01:03+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_2","FAILED","agentic","289059","6870","295929","64.0"

"2026-05-31T14:40:39+00:00","HBASE-27051","td","gpt-4o","run_1","FAILED","agentic","263853","5550","269403","55.5"

"2026-05-31T15:11:18+00:00","HBASE-27051","td","gpt-4o","run_1","PASSED","agentic","27349","1676","29025","16.9"

"2026-05-31T16:21:26+00:00","dubbodubbocommon690d397testGetAllDeclaredAnnotations","id","gpt-4o","run_1","FAILED","agentic","237534","6404","243938","59.3"

"2026-05-31T16:55:31+00:00","jnrposixd9f3f84","od","gpt-4o","run_1","PASSED","agentic","188799","1503","190302","26.2"
"2026-05-31T16:59:06+00:00","jnrposixd9f3f84","od","gpt-4o","run_2","PASSED","agentic","172334","953","173287","22.7"
